complaint_id,customer_id,received_at,channel,product_id_claimed,narrative_ko,claim_label_for_demo,source_system
EVAL_BASE_0001,CUST_0001,2026-06-30T09:03:00,인터넷뱅킹,JB_SMART_CASHBACK_CHECK,"지난달 Smart Cashback 체크카드로 장도 보고 식당에서도 결제했는데, 6월 29일 지나도 캐시백이 안 들어왔습니다. 전북은행 통장 입금내역 확인 부탁드립니다.",true_positive,router_aligned_50_fixture
EVAL_BASE_0002,CUST_0002,2026-06-30T09:06:00,인터넷뱅킹,JB_SMART_CASHBACK_CHECK,스마트 캐시백 체크카드 혜택 보고 계속 사용했는데 5월 사용분 캐시백이 아직도 0원입니다. 27일이 주말이면 다음 영업일에 들어오는 거 아닌가요?,true_positive,router_aligned_50_fixture
EVAL_BASE_0003,CUST_0003,2026-06-30T09:09:00,영업점,JB_SMART_CASHBACK_CHECK,전주에서 거의 이 카드만 썼는데 5월분 캐시백 입금이 누락된 것 같습니다. 통장 거래내역에 6월 말 입금 기록이 없습니다.,true_positive,router_aligned_50_fixture
EVAL_BASE_0004,CUST_0004,2026-06-30T09:12:00,모바일앱,JB_SMART_CASHBACK_CHECK,Smart Cashback 카드 지난달 정상 결제분 캐시백이 안 들어왔어요. 취소한 건도 아닌데 왜 미지급인지 확인해 주세요.,true_positive,router_aligned_50_fixture
EVAL_BASE_0005,CUST_0005,2026-06-30T09:15:00,영업점,JB_SMART_CASHBACK_CHECK,전북대학교 등록금 500만 원을 카드로 냈는데 캐시백이 거의 안 들어왔습니다. 금액이 큰데 왜 혜택이 없나요?,hard_negative_policy_exclusion,router_aligned_50_fixture
EVAL_BASE_0006,CUST_0019,2026-06-30T09:18:00,인터넷뱅킹,JB_SMART_CASHBACK_CHECK,종합소득세를 카드로 냈는데 캐시백 대상에서 빠진 것 같습니다. 세금도 카드 결제인데 확인 부탁드립니다.,hard_negative_policy_exclusion,router_aligned_50_fixture
EVAL_BASE_0007,CUST_0023,2026-06-30T09:21:00,영업점,JB_SMART_CASHBACK_CHECK,도시가스 요금을 카드로 냈는데 캐시백이 안 보입니다. 공과금도 결제금액인데 누락 아닌가요?,hard_negative_policy_exclusion,router_aligned_50_fixture
EVAL_BASE_0008,CUST_0012,2026-06-30T09:24:00,인터넷뱅킹,JB_SMART_CASHBACK_CHECK,지난달에 결제했다가 바로 취소한 100만 원 건에 대한 캐시백이 안 들어왔습니다. 결제는 했으니 캐시백 줘야 하는 거 아닌가요?,hard_negative_policy_exclusion,router_aligned_50_fixture
EVAL_BASE_0009,CUST_0341,2026-06-30T09:27:00,모바일앱,JB_SALARY_QUICK_CASHBACK,직장인 퀵캐시백 카드 사용분 캐시백이 안 들어왔어요. 스마트 캐시백이랑 같은 혜택 아닌가요?,wrong_product_or_unsupported_product,router_aligned_50_fixture
EVAL_BASE_0010,CUST_0081,2026-06-15T10:00:00,인터넷뱅킹,JB_SMART_CASHBACK_CHECK,오늘 송천동마트에서 10만 원 썼는데 캐시백이 바로 안 들어왔습니다. 실시간 입금되는 줄 알았는데 왜 안 되나요?,hard_negative_payment_timing,router_aligned_50_fixture
