card_id,customer_id,product_id,product_name,card_opened_at,status,processing_route,settlement_account_id
CARD_AL50_0001,CUST_0001,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0001
CARD_AL50_0002,CUST_0002,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0002
CARD_AL50_0003,CUST_0003,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0003
CARD_AL50_0004,CUST_0004,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0004
CARD_AL50_0005,CUST_0005,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0005
CARD_AL50_0006,CUST_0012,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0006
CARD_AL50_0007,CUST_0019,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0007
CARD_AL50_0008,CUST_0022,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0008
CARD_AL50_0009,CUST_0023,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0009
CARD_AL50_0010,CUST_0024,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0010
CARD_AL50_0011,CUST_0025,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0011
CARD_AL50_0012,CUST_0026,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0012
CARD_AL50_0013,CUST_0027,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0013
CARD_AL50_0014,CUST_0028,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0014
CARD_AL50_0015,CUST_0029,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0015
CARD_AL50_0016,CUST_0030,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0016
CARD_AL50_0017,CUST_0031,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0017
CARD_AL50_0018,CUST_0061,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0018
CARD_AL50_0019,CUST_0062,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0019
CARD_AL50_0020,CUST_0063,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0020
CARD_AL50_0021,CUST_0064,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0021
CARD_AL50_0022,CUST_0065,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0022
CARD_AL50_0023,CUST_0081,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0023
CARD_AL50_0024,CUST_0082,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0024
CARD_AL50_0025,CUST_0083,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0025
CARD_AL50_0026,CUST_0084,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0026
CARD_AL50_0027,CUST_0085,JB_SMART_CASHBACK_CHECK,JB Smart Cashback 체크카드,2025-09-01,ACTIVE,LEGACY,ACCT_AL50_0027
