scenario_id,title,merchant_message,expected_state
SYN-001,합성 결제 장애 케이스 001,새 단말기 설치 후 기존 단말기에서 카드 승인이 계속 실패합니다.,UNSPECIFIED
SYN-002,합성 결제 장애 케이스 002,어제 단말기 하나를 추가했는데 예전 단말기만 승인 오류가 반복돼요.,UNSPECIFIED
SYN-003,합성 결제 장애 케이스 003,신규 단말기 개시 이후 기존 카드 단말기에서 결제가 안 됩니다.,UNSPECIFIED
SYN-004,합성 결제 장애 케이스 004,새 장비는 켜졌는데 기존 단말기가 신용승인을 못 받아요.,UNSPECIFIED
SYN-005,합성 결제 장애 케이스 005,단말기 교체 작업 후 기존 기기에서 승인 실패가 계속 나옵니다.,UNSPECIFIED
SYN-006,합성 결제 장애 케이스 006,새 단말기 등록한 뒤 예전 단말기 카드 승인이 막혔습니다.,UNSPECIFIED
SYN-007,합성 결제 장애 케이스 007,추가 설치한 단말기 이후 기존 단말기 결제만 실패해요.,UNSPECIFIED
SYN-008,합성 결제 장애 케이스 008,오늘 새 단말기 오픈 후 기존 단말기에서 승인 처리 실패가 나옵니다.,UNSPECIFIED
SYN-009,합성 결제 장애 케이스 009,기존 단말기와 새 단말기를 같이 쓰려는데 기존 쪽 승인 오류가 납니다.,UNSPECIFIED
SYN-010,합성 결제 장애 케이스 010,새 단말기 활성화 직후부터 이전 단말기 카드 승인 실패가 이어집니다.,UNSPECIFIED
SYN-011,합성 결제 장애 케이스 011,설치 후 단말기 번호가 등록값과 다르다고 하면서 승인이 실패합니다.,UNSPECIFIED
SYN-012,합성 결제 장애 케이스 012,기기 시리얼 확인 필요라는 오류가 떠서 카드 결제가 안 됩니다.,UNSPECIFIED
SYN-013,합성 결제 장애 케이스 013,실물 단말기 번호와 시스템 등록 번호가 안 맞는 것 같아요.,UNSPECIFIED
SYN-014,합성 결제 장애 케이스 014,카드 승인 시 단말기 식별 정보 확인 문구가 반복됩니다.,UNSPECIFIED
SYN-015,합성 결제 장애 케이스 015,새 단말기 설치 뒤 등록된 시리얼과 실제 시리얼이 다르다고 나옵니다.,UNSPECIFIED
SYN-016,합성 결제 장애 케이스 016,단말기 식별값 불일치 오류로 신용승인이 실패해요.,UNSPECIFIED
SYN-017,합성 결제 장애 케이스 017,설치 담당자가 등록한 번호와 현장 기기 번호가 다른 것 같습니다.,UNSPECIFIED
SYN-018,합성 결제 장애 케이스 018,카드 승인할 때 가맹점 번호 미등록이라고 떠요.,UNSPECIFIED
SYN-019,합성 결제 장애 케이스 019,신규 매장인데 VAN 등록 대기 상태라 결제가 안 되는 것 같습니다.,UNSPECIFIED
